Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
svr_gam0.0625_eps0.125_c4       ,"10,47189","8,567302","74,46163","-0,1886436",24,summer ,,svr_gam0.000977_eps2_c64        ,"27,88818","19,75543","62,02014","0,0859212",24,autumn 
svr_gam0.0625_eps2_c4           ,"10,47189","8,567302","74,46163","-0,1886436",24,summer ,,svr_gam0.000977_eps0.0312_c64   ,"27,88818","19,75543","62,02014","0,0859212",24,autumn 
svr_gam0.0625_eps0.125_c16      ,"10,664361","8,685524","75,8139","-0,2327389",24,summer ,,svr_gam0.000977_eps0.125_c64    ,"27,88818","19,75543","62,02014","0,0859212",24,autumn 
svr_gam0.0625_eps2_c64          ,"10,74501","8,754237","76,37955","-0,2514547",24,summer ,,svr_gam0.000244_eps0.5_c1020    ,"28,17519","19,98525","62,73763","0,0670104",24,autumn 
svr_gam0.0625_eps0.125_c64      ,"10,74501","8,754237","76,37955","-0,2514547",24,summer ,,svr_gam0.0625_eps2_c1           ,"28,43103","21,55642","94,96588","0,0499892",24,autumn 
svr_gam0.000244_eps0.0312_c256  ,"10,767905","8,245181","61,32462","-0,2567935",24,summer ,,svr_gam0.0625_eps0.5_c1         ,"28,43103","21,55642","94,96588","0,0499892",24,autumn 
svr_gam0.0625_eps0.5_c256       ,"10,823125","8,848062","76,67219","-0,2697166",24,summer ,,svr_gam0.0625_eps0.0312_c1      ,"28,43103","21,55642","94,96588","0,0499892",24,autumn 
svr_gam0.0156_eps2_c16          ,"12,226509","9,443913","68,74435","-0,6203409",24,summer ,,svr_gam0.00391_eps0.125_c16     ,"29,39919","21,84927","76,87387","-0,0158132",24,autumn 
svr_gam0.00391_eps0.125_c64     ,"12,851978","10,03553","73,40321","-0,7903644",24,summer ,,svr_gam0.0625_eps0.125_c64      ,"29,94255","22,84607","103,39732","-0,0537092",24,autumn 
svr_gam0.00391_eps0.0312_c64    ,"12,851978","10,03553","73,40321","-0,7903644",24,summer ,,svr_gam0.0625_eps2_c64          ,"29,94255","22,84607","103,39732","-0,0537092",24,autumn 
svr_gam0.00391_eps2_c64         ,"12,851978","10,03553","73,40321","-0,7903644",24,summer ,,svr_gam0.000977_eps0.0312_c256  ,"30,14614","22,55711","80,69251","-0,0680869",24,autumn 
svr_gam0.00391_eps0.5_c64       ,"12,851978","10,03553","73,40321","-0,7903644",24,summer ,,svr_gam0.0625_eps0.5_c256       ,"30,59608","23,31644","105,08128","-0,1002078",24,autumn 
svr_gam0.00391_eps2_c16         ,"13,355125","10,276379","75,83758","-0,9332918",24,summer ,,svr_gam0.0625_eps2_c256         ,"30,59608","23,31644","105,08128","-0,1002078",24,autumn 
svr_gam0.00391_eps0.5_c16       ,"13,355125","10,276379","75,83758","-0,9332918",24,summer ,,svr_gam0.0625_eps0.5_c1020      ,"31,02528","23,71991","106,70973","-0,1312916",24,autumn 
svr_gam0.00391_eps0.0312_c16    ,"13,355125","10,276379","75,83758","-0,9332918",24,summer ,,svr_gam0.0625_eps0.125_c1020    ,"31,02528","23,71991","106,70973","-0,1312916",24,autumn 
svr_gam0.000977_eps2_c64        ,"13,822082","10,070393","75,26351","-1,0708488",24,summer ,,svr_gam0.00391_eps0.0312_c64    ,"34,29477","26,16607","98,665","-0,3822898",24,autumn 
svr_gam0.000244_eps0.125_c1020  ,"15,363586","10,782032","80,80419","-1,5585073",24,summer ,,svr_gam0.00391_eps2_c64         ,"34,29477","26,16607","98,665","-0,3822898",24,autumn 
svr_gam0.000244_eps0.0312_c1020 ,"15,363586","10,782032","80,80419","-1,5585073",24,summer ,,svr_gam0.000977_eps0.0312_c1020 ,"36,43701","27,1955","103,91585","-0,5603743",24,autumn 
svr_gam0.0156_eps0.125_c256     ,"17,256714","13,206222","101,88612","-2,2278823",24,summer ,,svr_gam0.000977_eps0.125_c1020  ,"36,43701","27,1955","103,91585","-0,5603743",24,autumn 
svr_gam0.0156_eps0.0312_c256    ,"17,256714","13,206222","101,88612","-2,2278823",24,summer ,,svr_gam0.000977_eps0.5_c1020    ,"36,43701","27,1955","103,91585","-0,5603743",24,autumn 
svr_gam0.000977_eps0.0312_c256  ,"19,771947","13,511093","103,78668","-3,2374089",24,summer ,,svr_gam0.0156_eps2_c256         ,"38,08679","29,26452","115,55593","-0,7048726",24,autumn 
svr_gam0.000977_eps0.125_c256   ,"19,771947","13,511093","103,78668","-3,2374089",24,summer ,,svr_gam0.0156_eps0.5_c256       ,"38,08679","29,26452","115,55593","-0,7048726",24,autumn 
svr_gam0.000977_eps0.0312_c1020 ,"20,641061","14,498989","112,23117","-3,6181231",24,summer ,,svr_gam0.0156_eps2_c1020        ,"40,73375","31,56166","128,44841","-0,950078",24,autumn 
svr_gam0.000977_eps2_c1020      ,"20,641061","14,498989","112,23117","-3,6181231",24,summer ,,svr_gam0.00391_eps0.5_c256      ,"41,7124","32,14918","130,40524","-1,0449074",24,autumn 
svr_gam0.00391_eps2_c1020       ,"23,402871","17,578785","132,32764","-4,9366271",24,summer ,,svr_gam0.00391_eps0.125_c256    ,"41,7124","32,14918","130,40524","-1,0449074",24,autumn 
svr_gam0.00391_eps0.5_c1020     ,"23,402871","17,578785","132,32764","-4,9366271",24,summer ,,svr_gam0.00391_eps2_c1020       ,"48,4406","37,17211","150,83594","-1,7577961",24,autumn 
,,,,,,,,,,,,,,
MIN,"8,5993","6,70962","49,7076","-4,9366271",,,,MIN,"26,59559","18,56401","56,83901","-1,7577961",,
MAX,"23,402871","17,578785","132,32764","0,1778046",,,,MAX,"48,4406","37,17211","150,83594","0,1686913",,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON ,,MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON 
mlr       ,"52,19708","37,87136","91,89475","0,4155507",24,winter ,,mlr       ,"16,57797","11,63136","60,92211","0,1390605",24,spring 
lasso_mlr ,"53,09233","37,49482","82,96298","0,3953306",24,winter ,,lasso_mlr ,"16,66655","12,21949","72,48198","0,1298363",24,spring 
log_mlr   ,"54,95484","36,36784","64,45146","0,3521621",24,winter ,,log_mlr   ,"16,70776","11,22223","54,91689","0,1255269",24,spring 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON ,,MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON 
mlr       ,"8,832782","6,796416","49,7808","0,1543385",24,summer ,,mlr       ,"26,56034","18,98477","66,7347","0,170893",24,autumn 
lasso_mlr ,"8,585225","6,664181","51,6458","0,2010771",24,summer ,,lasso_mlr ,"26,30325","18,71194","65,03257","0,1868663",24,autumn 
log_mlr   ,"8,869874","6,682591","44,03154","0,1472213",24,summer ,,log_mlr   ,"27,24501","18,21777","52,50317","0,1275973",24,autumn 
,,,,,,,,,,,,,,
BEST RESULTS,MIN,,,MAX,,,,,,,,,,
SEASON,     RMSE,      MAE,     MAPE,        R2,,,,,,,,,,
winter,"52,19708","36,36784","64,45146","0,4155507",,,,,,,,,,
spring,"16,0718","11,22223","54,91689","0,1908319",,,,,,,,,,
summer,"8,585225","6,664181","44,03154","0,2010771",,,,,,,,,,
autumn,"25,869962","18,21777","52,50317","0,21281178",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEST MODELS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON ,,MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON 
mlr       ,"52,19708","37,87136","91,89475","0,4155507",24,winter ,,mlr       ,"16,57797","11,63136","60,92211","0,1390605",24,spring 
lasso_mlr ,"53,09233","37,49482","82,96298","0,3953306",24,winter ,,lasso_mlr ,"16,66655","12,21949","72,48198","0,1298363",24,spring 
log_mlr   ,"54,95484","36,36784","64,45146","0,3521621",24,winter ,,log_mlr   ,"16,70776","11,22223","54,91689","0,1255269",24,spring 
mlp_5_5_th_0.5,"54,096122","38,423912","81,948028","0,37202854",24,winter ,,mlp_4_3_th_0.7,"16,794252","12,673062","75,094622","0,11620618",24,spring 
svr_gam0.000977_eps0.25_c4    ,"55,77505","38,5942","74,87463","0,3326796",24,winter ,,svr_gam0.000977_eps0.25_c0.25  ,"16,0718","11,32602","60,0773","0,1908319",24,spring 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON ,,MODEL     ,     RMSE,      MAE,     MAPE,        R2, FUTURE_LAG,SEASON 
mlr       ,"8,832782","6,796416","49,7808","0,1543385",24,summer ,,mlr       ,"26,56034","18,98477","66,7347","0,170893",24,autumn 
lasso_mlr ,"8,585225","6,664181","51,6458","0,2010771",24,summer ,,lasso_mlr ,"26,30325","18,71194","65,03257","0,1868663",24,autumn 
log_mlr   ,"8,869874","6,682591","44,03154","0,1472213",24,summer ,,log_mlr   ,"27,24501","18,21777","52,50317","0,1275973",24,autumn 
mlp_5_5_th_0.7 ,"8,7339486","6,7700716","50,511288","0,17307126",24,summer ,,Mlp_3_2_th_0.3,"25,869962","18,889418","73,833928","0,21281178",24,autumn 
svr_gam0.000244_eps0.5_c0.25    ,"8,5993","6,765152","51,18965","0,1984555",24,summer ,,svr_gam0.000244_eps0.5_c16      ,"26,59559","18,56401","58,1611","0,1686913",24,autumn 
