Same Season,,,,,,,,,,,,,,
ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS,ANNS
mlp3_5_5_th_0.7 ,"8,780874","6,727276","49,96312","0,1642489",24,summer ,,mlp3_3_2_th_0.7 ,"26,78985","19,78124","74,37641","0,1565025",24,autumn 
mlp4_5_5_th_0.7 ,"8,786234","6,839225","51,67278","0,1632283",24,summer ,,mlp4_3_2_th_0.7 ,"25,47326","18,09358","64,5361","0,2373726",24,autumn 
mlp5_5_5_th_0.7 ,"8,692572","6,71348","48,61381","0,1809733",24,summer ,,mlp5_3_2_th_0.7 ,"26,08148","19,0959","73,09706","0,2005201",24,autumn 
mlp1_5_5_th_0.5 ,"8,940177","6,947177","52,7589","0,1336494",24,summer ,,mlp1_3_2_th_0.5 ,"25,47204","18,32129","68,78456","0,2374459",24,autumn 
mlp2_5_5_th_0.5 ,"8,894617","6,982776","52,031","0,1424569",24,summer ,,mlp2_3_2_th_0.5 ,"26,65788","19,42592","74,98397","0,1647923",24,autumn 
mlp3_5_5_th_0.5 ,"8,585865","6,584931","47,93562","0,200958",24,summer ,,mlp3_3_2_th_0.5 ,"25,83866","18,91486","74,56565","0,2153369",24,autumn 
mlp4_5_5_th_0.5 ,"8,892549","6,836237","49,23869","0,1428556",24,summer ,,mlp4_3_2_th_0.5 ,"25,90475","19,03598","76,44769","0,2113179",24,autumn 
mlp5_3_5_th_0.5 ,"8,693234","6,769617","49,88867","0,1808485",24,summer ,,mlp5_3_2_th_0.5 ,"25,80833","18,55222","70,0907","0,2171779",24,autumn 
mlp1_5_5_th_0.3 ,"8,745404","6,815161","50,32858","0,1709872",24,summer ,,mlp1_3_2_th_0.3 ,"25,65226","18,69638","75,08769","0,2266173",24,autumn 
mlp2_5_5_th_0.3 ,"9,041558","6,991698","51,09315","0,1138893",24,summer ,,mlp2_3_2_th_0.3 ,"25,7544","19,04348","77,93689","0,2204463",24,autumn 
mlp3_5_5_th_0.3 ,"8,848188","6,735841","48,17632","0,1513861",24,summer ,,mlp3_3_2_th_0.3 ,"27,19511","20,27206","78,56574","0,13079",24,autumn 
mlp4_5_5_th_0.3 ,"8,892943","6,926182","51,77056","0,1427796",24,summer ,,mlp4_3_2_th_0.3 ,"24,96087","17,69172","65,37619","0,2677444",24,autumn 
mlp5_5_5_th_0.3 ,"9,054049","7,025448","48,91243","0,1114393",24,summer ,,mlp5_3_5_th_0.3 ,"25,78717","18,74345","72,20313","0,2184609",24,autumn 
mlp1_5_5_th_0.1 ,"9,194065","7,092523","52,60626","0,0837444",24,summer ,,mlp1_3_2_th_0.1 ,"25,58705","18,86273","74,07245","0,2305441",24,autumn 
mlp2_5_5_th_0.1 ,"9,89925","7,876516","57,20506","-0,0621995",24,summer ,,mlp2_3_2_th_0.1 ,"26,56094","19,79448","80,45451","0,170856",24,autumn 
mlp3_5_5_th_0.1 ,"9,359312","7,166918","49,62743","0,0505124",24,summer ,,mlp3_3_2_th_0.1 ,"25,65815","18,86091","74,1852","0,2262619",24,autumn 
mlp4_5_5_th_0.1 ,"9,336123","7,277273","50,12783","0,0552115",24,summer ,,mlp4_3_2_th_0.1 ,"25,87594","19,5449","83,71202","0,2130713",24,autumn 
mlp5_4_5_th_0.1 ,"9,171205","7,042276","49,25703","0,0882952",24,summer ,,mlp5_3_2_th_0.1 ,"26,07858","18,98087","77,27412","0,2006974",24,autumn 
,,,,,,,,,,,,,,
Avg Errors,     RMSE,      MAE,      MAPE,        R2, FUTURE_LAG,SEASON ,,Avg Errors,     RMSE,      MAE,      MAPE,        R2, FUTURE_LAG,SEASON 
mlp_5_5_th_0.7 ,"8,7339486","6,7700716","50,511288","0,17307126",24,summer ,,Mlp_3_2_th_0.7,"25,987902","18,949878","73,040942","0,20597392",24,autumn 
mlp_5_5_th_0.5 ,"8,8012884","6,8241476","50,370576","0,16015368",24,summer ,,Mlp_3_2_th_0.5,"25,936332","18,850054","72,974514","0,20921418",24,autumn 
mlp_5_5_th_0.3,"8,9164284","6,898866","50,056208","0,1380963",24,summer ,,Mlp_3_2_th_0.3,"25,869962","18,889418","73,833928","0,21281178",24,autumn 
mlp_5_5_th_0.1,"9,391991","7,2911012","51,764722","0,0431128",24,summer ,,Mlp_3_2_th_0.1,"25,952132","19,208778","77,93966","0,20828614",24,autumn 
Avg Errors,     RMSE,      MAE,      MAPE,        R2, FUTURE_LAG,SEASON ,,Avg Errors,     RMSE,      MAE,      MAPE,        R2, FUTURE_LAG,SEASON 
mlp_5_5_th_0.7 ,"8,7339486","6,7700716","50,511288","0,17307126",24,summer ,,Mlp_3_2_th_0.3,"25,869962","18,889418","73,833928","0,21281178",24,autumn 
mlp_5_5_th_0.5 ,"8,8012884","6,8241476","50,370576","0,16015368",24,summer ,,Mlp_3_2_th_0.5,"25,936332","18,850054","72,974514","0,20921418",24,autumn 
